id,likes,day,month,year,time_hours,time_minutes
53327,0,21,8,2017,20,0
53320,0,21,8,2017,8,15
53315,0,21,8,2017,1,2
53305,0,20,8,2017,15,20
53301,1,20,8,2017,12,39
53300,0,20,8,2017,12,6
53296,0,20,8,2017,2,44
53295,0,20,8,2017,0,37
53293,0,19,8,2017,22,3
53289,2,19,8,2017,18,8
53279,0,19,8,2017,11,0
53278,0,19,8,2017,10,13
53277,16,19,8,2017,9,57
53273,0,19,8,2017,2,52
53265,0,18,8,2017,21,29
53259,0,18,8,2017,20,34
53253,0,18,8,2017,19,12
53251,0,18,8,2017,18,25
53243,0,18,8,2017,14,17
53239,0,18,8,2017,11,10
53238,1,18,8,2017,9,28
53232,0,17,8,2017,22,36
53226,0,17,8,2017,19,36
53220,1,17,8,2017,16,18
53218,6,17,8,2017,14,3
53217,0,17,8,2017,13,34
53210,0,17,8,2017,5,33
53207,0,17,8,2017,1,51
53197,0,16,8,2017,23,23
53189,0,16,8,2017,21,31
53188,1,16,8,2017,21,14
53185,0,16,8,2017,17,26
53183,3,16,8,2017,15,13
53175,0,15,8,2017,21,8
53173,4,15,8,2017,20,49
53162,1,15,8,2017,12,51
53158,0,15,8,2017,12,3
53152,0,14,8,2017,22,41
53146,0,14,8,2017,15,54
53143,0,14,8,2017,14,50
53137,0,14,8,2017,12,5
53134,0,14,8,2017,11,43
53130,3,14,8,2017,10,39
53126,1,13,8,2017,20,29
53123,4,13,8,2017,14,27
53116,0,12,8,2017,16,26
53115,0,12,8,2017,16,2
53103,2,12,8,2017,12,21
53099,1,12,8,2017,10,8
53097,0,12,8,2017,6,9
53096,5,12,8,2017,0,51
53092,0,11,8,2017,23,23
53091,2,11,8,2017,23,20
53087,0,11,8,2017,21,34
53083,0,11,8,2017,20,39
53079,4,11,8,2017,18,9
53072,0,11,8,2017,17,16
53069,0,11,8,2017,17,5
53068,0,11,8,2017,17,3
53064,0,11,8,2017,16,39
53063,3,11,8,2017,16,29
53060,3,11,8,2017,14,3
53056,1,11,8,2017,13,42
53053,0,11,8,2017,12,59
53052,0,11,8,2017,11,35
53051,0,11,8,2017,10,40
53049,0,11,8,2017,9,55
53043,1,11,8,2017,3,57
53040,0,11,8,2017,0,37
53039,0,11,8,2017,0,27
53037,0,10,8,2017,22,8
53030,38,10,8,2017,19,15
53027,2,10,8,2017,19,8
53026,0,10,8,2017,18,39
53022,1,10,8,2017,16,31
53021,0,10,8,2017,16,27
53016,1,10,8,2017,15,27
53015,1,10,8,2017,14,52
53014,4,10,8,2017,14,52
53012,0,10,8,2017,13,55
53011,8,10,8,2017,13,51
53010,0,10,8,2017,13,49
53009,18,10,8,2017,13,1
53006,3,10,8,2017,12,2
53005,0,10,8,2017,10,53
53004,0,10,8,2017,10,18
52995,2,10,8,2017,0,16
52994,0,10,8,2017,0,7
52991,1,9,8,2017,23,8
52990,13,9,8,2017,21,58
52988,1,9,8,2017,21,47
52985,1,9,8,2017,19,22
52977,0,9,8,2017,12,30
52958,2,9,8,2017,8,3
52951,0,9,8,2017,0,33
52944,0,8,8,2017,23,46
52942,0,8,8,2017,23,39
52941,1,8,8,2017,23,11
52938,0,8,8,2017,22,33
52937,3,8,8,2017,21,50
52935,0,8,8,2017,21,4
52933,0,8,8,2017,19,37
52927,0,8,8,2017,17,55
52924,0,8,8,2017,17,6
52920,0,8,8,2017,15,55
52917,0,8,8,2017,15,48
52916,0,8,8,2017,15,48
52906,0,8,8,2017,14,12
52903,0,8,8,2017,14,1
52899,1,8,8,2017,13,34
52898,81,8,8,2017,13,28
52891,0,8,8,2017,13,6
52883,0,8,8,2017,12,39
52881,0,8,8,2017,12,33
52880,0,8,8,2017,12,13
52877,0,8,8,2017,11,24
52875,1,8,8,2017,11,9
52873,0,8,8,2017,9,40
52871,1,8,8,2017,9,37
52865,0,7,8,2017,22,58
52862,0,7,8,2017,22,42
52860,0,7,8,2017,22,11
52858,1,7,8,2017,20,10
52854,1,7,8,2017,18,56
52846,0,7,8,2017,17,0
52845,1,7,8,2017,16,52
52839,2,7,8,2017,12,38
52836,2,7,8,2017,12,3
52833,1,7,8,2017,10,26
52812,1,6,8,2017,21,8
52809,0,6,8,2017,18,45
52805,0,6,8,2017,17,18
52804,0,6,8,2017,16,45
52798,0,6,8,2017,13,2
52796,1,6,8,2017,12,15
52792,0,6,8,2017,8,22
52788,4,6,8,2017,0,38
52773,0,5,8,2017,21,10
52772,0,5,8,2017,20,40
52759,0,5,8,2017,17,0
52745,0,5,8,2017,16,12
52743,1,5,8,2017,14,55
52742,2,5,8,2017,14,52
52735,0,5,8,2017,11,38
52732,1,5,8,2017,10,45
52731,0,5,8,2017,10,45
52729,0,5,8,2017,9,28
52727,0,5,8,2017,8,25
52722,0,5,8,2017,1,46
52712,0,5,8,2017,0,5
52709,0,4,8,2017,23,50
52705,0,4,8,2017,23,15
52701,7,4,8,2017,21,30
52689,28,4,8,2017,19,58
52688,0,4,8,2017,19,55
52684,0,4,8,2017,19,18
52681,0,4,8,2017,18,36
52678,2,4,8,2017,18,11
52677,0,4,8,2017,18,0
52673,0,4,8,2017,17,10
52669,0,4,8,2017,15,41
52667,4,4,8,2017,14,51
52665,0,4,8,2017,14,24
52663,0,4,8,2017,14,12
52660,1,4,8,2017,13,38
52654,0,4,8,2017,12,33
52653,0,4,8,2017,12,15
52645,0,4,8,2017,11,2
52636,0,4,8,2017,10,45
52635,0,4,8,2017,10,41
52634,0,4,8,2017,10,21
52631,0,4,8,2017,8,47
52621,0,4,8,2017,1,16
52612,1,4,8,2017,0,49
52611,0,4,8,2017,0,36
52609,0,4,8,2017,0,29
52606,0,3,8,2017,22,34
52596,0,3,8,2017,21,48
52592,0,3,8,2017,21,25
52584,2,3,8,2017,20,23
52576,0,3,8,2017,20,4
52574,10,3,8,2017,19,17
52571,0,3,8,2017,18,47
52570,4,3,8,2017,18,45
52567,3,3,8,2017,18,25
52566,0,3,8,2017,18,15
52563,0,3,8,2017,18,5
52558,0,3,8,2017,17,37
52556,9,3,8,2017,17,34
